Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark
2019-06-01,France,SNCF,Voltalia,Solar,143,25,Corporate,3 solar parks,,Gard et Var,
2019-06-01,Great Britain,Danske Commodities,Equinor,Offshore Wind,30,20,Utility,,,,
2019-06-01,Belgium,Ontex,Menapy,Solar,2.2,15,Corporate,,,,
2019-05-01,United States,Sacremento County Municpla Utility District,Landlease,Solar,160,30,,Will see the consturction of a new solar plant in Montgomery County. Schedule to be operational in 2021.,Soalr Power World,California,
2019-05-01,United States,Alabama Municipal Electric Authority,Lightsource BP,Solar,100,20,,Will be supplied by the 700MW Revolution Wind Farm locataed in federal waters off the coast of Rhode Island and Massachusetts. Operational in 2023.,Renewables Now,Alabama,
2019-05-01,United States,National Grid,Orsted A and Eversource Energy,Offshore Wind,400,20,,Will be supplied from the Tatanka Ridge Wined Farm in Deuel County. Operational Late 2020.,Renewables Now,Rhode Island,
2019-05-01,United States,Dairyland Power Cooperative,Avangrid Renewables,Onshore Wind,52,,,"Buyers include Bartlett Electric Cooperative, Comanche Electric Cooperative, Heart of Texax Electric Cooperative, PenTex Energy and South Plains Electric Cooperative. 5 Solar arrays will be built in each of the buyers distribution systmes.",Renewables Now,South Dakota,
2019-05-01,United States,Group of 5 Electric Cooperatives,Saturn Energy,Solar,7,20,,Will be supplied by the White Cloud Wind Project in Nodaway County. Operational late 2020.,Solar Power World,Texas,
2019-05-01,United States,Associated Electrive Cooperative Inc,Enel Ggreen Power,Onshore Wind,236.5,,,Virtual PPA. Will see the construction of the Maverick Creek wind farm in Concho County.,Renewables Now,Missouri,
2019-05-01,Germany,Lichtblick,PNE,Onshore Wind,13,,Utility,"Post-EEG PPA, no information on structure and term",PNE,,"Operting on-shore wind asset, Windpark ""Papenrode"""
2019-05-01,Netherlands,"a joint initiative by Philips, DSM, Google and Nouryon",Cooperatives made of local Dutch citizens,Onshore Wind,102,15,Corporate,,,,
2019-05-01,Sweden,Boliden AB (Swedish mining and smelting company),N/A,Onshore Wind,,,Corporate,"Purchase 415 GWh to supply some of its operations in Sweden and Finland. Under its terms, Boliden will be supplied with 240 GW of electricity in Sweden and 175 GW in Finland, which will be sourced from wind farms situated near its mining and smelting sites in Boliden, Sweden, and Kokkola, Finland",,,
2019-05-01,Netherlands,Microsoft,Dutch Eneco Holding NV,Onshore Wind,90,15,Corporate,,,,
2019-05-01,Sweden,Big Swedish Industrial Group,WPD,Onshore Wind,72,,Corporate,,,,
2019-05-01,Spain,GO Fit (fitness),Engie,Solar,,10,Corporate,,,,
2019-05-01,Poland,"local sulphur mine, Grupa Azoty Kopalnie i Zaklady Chemiczne Siarki „Siarkopol”",PGE Polska Grupa Energetyczna SA,Solar,5,,Corporate,COD 2022,,Osiek,
2019-05-01,Greece,N/A,EDF Renewables,Solar,60,20,N/A,,,,
2019-05-01,France,Boulanger,Voltalia,Solar,5,25,Corporate,Completion in late 2020. (project developer OX2),,Normandie,
2019-04-01,United States,General Mills,Roaring Fork,Onshore Wind,200,15,,From the Taygete Energy Project in Pecos County. Energy will be purchased by two large corporate entities in 'SolarBlocks' a fixed shape solar energy product offered by 7X.,Renewables Now,Texas,
2019-04-01,United States,Undisclosed (Fortune 500),7X Energy,Solar,690,,,Will see a new solar farm constructed in North Valmy to replace an existing coal plant due to close in 2025. Initial price of $21.75 MWh was considerd the lowest-cost solar deals signed to date in the US.,Solar Power World,Texas,
2019-04-01,United States,Idaho Power Company,Jackpot Holdings,Solar,120,,,From the Rattlesnack Flat Project in Adams County. Operational late 2020.,Renewables Now,Idaho,
2019-04-01,Spain,ArcelorMittal,Foresight,Solar,10,10,Corporate,,,,
2019-04-01,Norway,Centrica,Alcoa,Onshore Wind,197,2,Utility,Balancing services only,,,
2019-04-01,Denmark,Apple,European Energy,Solar,42,,Corporate,CfD-style fixed price. Wind onshore to come up as well.,,Viborg and Aabenraa ,
2019-04-01,Sweden,Axpo Nordic,Asper Investment Management,Onshore Wind,,,Utility,,,,
2019-04-01,Netherlands,Vattenfall,"Local farmers, residents and entrepreneurs",Onshore Wind,300,,Utility,"Windpark name: Windpark Zeewolde BV. The wind farm is owned by more than 200 farmers, residents and entrepreneurs from the outskirts of Zeewolde.",,,
2019-04-01,Sweden,Axpo,Aquila,Onshore Wind,133,,Utility,,,,
2019-04-01,Great Britain,Limejump,DHG Hydro Ltd,Hydro,1.2,,Utility,,,,
2019-04-01,Great Britain,National Trust Wales,Limejump,Hydro,0.05,,Corporate,,,,
2019-03-01,United States,Avista Corp,Clearway Energy Group,Onshore Wind,144,20,,Concerns the Badger State project planned in Jefferson County. Operational in 2022.,Renewables Now,Washington,
2019-03-01,United States,Dairyland Power Cooperative,Ranger Power,Solar,149,,,From the 150MW Lund Hill solar farm being developed in Klickitat County. Operational late 2020.,Renewables Now,Wisconsin,
2019-03-01,Spain,Alpiq,Luxcara,Solar,45,,Utility,Solar project located in municipality of Espejo. No information on tenor and structure,,,
2019-03-01,United States,Puget Sound Energy,Avangrid Renewables,Solar,150,,,"Will see the consturction of 5 x 50MW plants throughout the Jacksonville area, covered in 5 separate PPAs",Renewables Now,Washington,
2019-03-01,United States,JEA,EDF Renewable North America,Solar,250,,,Will be supplied by the Timber Road IV park in Paulding County. Was due to be operational in 2019.,Renewables Now,Flordia,
2019-03-01,United States,Microsoft,EDP Renewables,Onshore Wind,125,15,,Supplied by the Wilkinson Solar Energy Centre in North Carolina. Due to be operational in 2019.,Renewables Now,Ohio,
2019-03-01,United States,Microsoft,Invenergy,Solar,74,15,,Will see the construction of a new ground mounted solar park due to be operational in 2023.,Renewables Now,North Carolina,
2019-03-01,Spain,Centrica,Marguerite,Solar,50,,Utility,,,,
2019-03-01,Spain,Audax,Trina Solar,Solar,300,20,Utility,,,,
2019-03-01,Great Britain,Northumbrian Water,Orsted,Offshore Wind,23,10,Utility,,,,
2019-03-01,Norway,Alcoa Corp,Statkraft,Onshore Wind,152,10,Corporate,,,,
2019-03-01,Poland,Grupa Azoty Kopalnie I Zaklady Chemiczne Siarki Siarkopol,PGE,Solar,5,10,Corporate,,,,
2019-03-01,Sweden,Amazon,Eolus Vind AB,Onshore Wind,91,10,Corporate,,,,
2019-03-01,Great Britain,Northumbrian Water,"AMEC PLC, Centrica Renewable Energy Ltd.",Offshore Wind,100,10,Utility,,,,
2019-03-01,Sweden,Swedbank AB,Eneo Solutions AB,Solar,10,10,Corporate,,,,
2019-03-01,Great Britain,Accolade Wines,Cleanearth Energy,Onshore Wind,2.5,10,Corporate,,,,
2019-02-01,United States,Northern virginia Electric Cooperative,DE Shaw Renewable,Solar,300,,,Will see construction of taygate Energy Project in Pecos County. Operational in Q1 2021.,Renewabl Now,Virginia,
2019-02-01,United States,Undisclosed (Fortune 500),7X Energy,Solar,250,,,Will see the construction of a newly proposed facility in Colorado. Due to be operational late 2020.,Solar Power World,Texas,
2019-02-01,United States,Platte River Power Authority,GCL Energy,Solar,20,,,Covers the full output of the ColGreen North Shore Power Plant which was been operational since January 2019.,Renewables now,Colorado,
2019-02-01,United States,Direct Energy,Sunpin Solar,Solar,75,,,From the Crossing Trails wind project due operational late 2020.,Solar Power World,California,
2019-02-01,Germany,EnBW Energie Baden-Wuerttemberg AG,Energiekontor AG,Solar,175,15,Utility,,,,
2019-02-01,United States,Tri-State Generation and Transmission,EDP Renewables,Onshore Wind,104,15,,Will see the construction of the Waiawa Solar Project in Waiawa region of Oahu. Will include battery storage capability as well.,Renewables Now,Colorado,
2019-02-01,Portugal,Audax,Morningchapter SA,Solar,46.1,20,Utility,,,,
2019-02-01,Germany,EnBW,Energiekontor,Solar,85,15,Utility,,,,
2019-02-01,Spain,Audax,Allianz (Welink),Solar,708,20,Utility,,,,
2019-02-01,Sweden,Vattenfall,Marguerite,Onshore Wind,42,,Utility,,,,
2019-02-01,Belgium,RWE,Parkwind,Offshore Wind,219,,Utility,COD 2020,,off the coast of Zeebrugge,
2019-02-01,France,Statkraft,Valeco,Onshore Wind,40.5,5,Utility,"Statkraft AS has agreed to buy power and certificates from three French wind farms with a combined capacity of 40.5 MW. Statkraft has entered into three separate PPAs with project developer Valeco, each with a term of five years.",,,
2019-02-01,Portugal,Audax,WElink,Solar,46,20,Utility,,,,
2019-02-01,Great Britain,Centrica,EDP Renovaveis,Offshore Wind,950,15,Utility,CfD at GBP 57.50/MWh. EDP Renovaveis SA (ELI:EDPR) is leading the project with a 33.3% stake. Engie SA (EPA:ENGI) has 23.3% and Diamond Green Ltd holds 33.4%. The remaining 10% are held by China Three Gorges (UK) Limited.,,"Scotland, Moray East",
2019-01-01,United States,Hawaiian Electric Company,Clearway Energy Group,Solar,36,,,Will see the construction of the Mililani I Solar Project in the Mililani Agricultural Park. Will include battery storage capability as well. At the time of announcement completion was scheduled for the end of 2019.,Solar Power World,Hawaii,
2019-01-01,United States,Hawaiian Electric Company,Clearway Energy Group,Solar,39,,,From the 600MW Revolution Wind Project located in federal waters off Rhode Island and Massachusetts.,Solar Power World,Hawaii,
2019-01-01,France,BCM Energy,Innogy,Hydro,,2,Utility,,,,
2019-01-01,Italy,Audax,BAS FV Italia SL,Solar,10,10,Utility,,,,
2019-01-01,Spain,Fortia Energia,Statkraft,Solar,,10,Utility,"Statkraft will supply 3,000 GWh of electricity to Fortia during the duration of the contract. ",,Spain and Portugal,Wind and Solar
2019-01-01,Italy,Axpo,European Energy,Solar,300,12,Utility,,,,
2019-01-01,Spain,Holaluz,EDF Solar,Solar,120,3,Utility,,,,
2018-12-01,United States,Eversource and United Illuminating,Orsted A and Eversource Energy,Offshore Wind,200,20,,From the Dakota Range III project due to be operational in 2022.,Renewables Now,Connecticut,
2018-12-01,United States,Xcel Energy,Engie,Onshore Wind,151.2,,,From the Carrizozo Project located in Lincoln County and coming online in March 2018. Price agreed at 4.5c per kWh,Renewables Now,South Dakota,
2018-12-01,United States,Otero County Electric Cooperative,SoCore Energy,Solar,3,25,,Part of a 156MW development in Adams County. Operational by end of 2020,PV Magazine,New Mexico,
2018-12-01,United States,City of Philadelphia,Community Energy,Solar,70,20,,Will supply Intel's semiconductor manufacturing base in Chanlder,Solar Power World,Pennsylvania,
2018-12-01,United States,Intel,Salt River Project,Solar,100,15,,Will be supplied from a new project under construction in Menard County. Operational end of 2020.,Renewables Now,Arizona,
2018-12-01,United States,Air Liquide,NextEra Energy,Onshore Wind,50,,,From the Palehua wind project under construction on the Waianae Range using 13 turbines. Operational late 2022.,Renewables Now,Texas,
2018-12-01,Spain,Repsol SA,Solaria Energia,Solar,52,7,Corporate,"November 2019: Solaria signed a long-term financing agreement with Banco de Sabadell, it arranged EUR 59.45 mill in project finance with a 16 year term.",,,
2018-12-01,Belgium,Eneco,SeaMade,Offshore Wind,487,,Utility,"SeaMade is jointly owned by the Otary consortium (70%), Engie Electrabel (17.5%) and Eneco (12.5%). COD 2020.",,off the coast of Zeebrugge,
2018-12-01,Great Britain,Anheuser-Busch Inbev,Lightsource BP,Solar,100,15,Corporate,,,,
2018-12-01,Italy,Centrica,Glennmont Partners,Onshore Wind,315,,Utility,,,,
2018-12-01,France,Statkraft,Boreas,Offshore Wind,20,,Utility,,,,
2018-12-01,Italy,EGO Group,Octopus,Solar,63,,Utility,,,,
2018-12-01,Italy,Shell Energy,Octopus,Solar,70.5,5,Utility,,,,
2018-12-01,Italy,Trailstone GmbH,Canadian Solar Inc.,Solar,17.6,10,Utility,Solar asset bought by Sonnedix in March 2020,,Sicily,
2018-12-01,Belgium,Eneco,Engie,Offshore Wind,487,,Utility,"SeaMade is jointly owned by the Otary consortium (70%), Engie Electrabel (17.5%) and Eneco (12.5%). Eneco noted it has concluded a long-term PPA with the other shareholders.",,off the coast at Zeebrugge,
2018-12-01,Germany,Mercedes-Benz,Statkraft,Onshore Wind,46,5,Corporate,"Six Post-FIT Asssets. 33.1 GWh will be delivered in 2021, 74 GWh in 2022-2024 and 21.8 GWh in 2025. Each asset will deliver power for between three and five years, depending on tariff expiry date",New Energy Update,,
2018-11-01,United States,Hawaiin Electric Co,EE Ewa,Onshore Wind,46.8,22,,Will see the installation of rooftop systems on 4 buildings. Operational early 2019.,Renewables Now,Hawaii,
2018-11-01,United States,Hawaii Pacific University,EnSync,Solar,0.21,20,,"Part of a joint deal with Monterey Bay Community Power, will see the construction of the Big Beau Solar+Storage Project in Kern County. Operational by the end of 2021.",PV Magazine,Hawaii,
2018-11-01,United States,Silicon Valley Clean Energy,EDF Renewable North America,Solar,70,20,,Part of a joint deal with Silicon Valley Clean Energy. will see the construction of the Big Beau Solar+Storage Project in Kern County. Operational by the end of 2021.,Solar Power World,California,"70 solar, 22 storage"
2018-11-01,United States,Monterey Bay Community Power,EDF Renewable North America,Solar,50,20,,From the Midway wind farm in San patricio County.,Solar Power World,California,"58 solar, 18 storage"
2018-11-01,Spain,Repsol SA,Solaria Energia,Solar,50,7,Corporate,,,,
2018-11-01,Denmark,Novo Nordisk,Vattenfall,Offshore Wind,60,10,Corporate,,,,
2018-11-01,Denmark,Novozymes,Vattenfall,Offshore Wind,60,10,Corporate,,,,
2018-11-01,Belgium,Google,Eneco,Offshore Wind,92.4,10,Corporate,,,,
2018-11-01,Finland,Google,Neoen SAS ; Prokon Regenerative Energien eG,Onshore Wind,81,10,Corporate,,,,
2018-11-01,Finland,Google,WPD AG,Onshore Wind,60,10,Corporate,,,,
2018-11-01,Finland,Google,Fingrid OYJ,Onshore Wind,50.4,10,Corporate,,,,
2018-11-01,Germany,N/A,Greenpeace Energy,Onshore Wind,9,10,N/A,,,,
2018-11-01,Sweden,Norsk Hydro ASA,Vattenfall,Onshore Wind,143,10,Corporate,,,,
2018-11-01,Sweden,Norsk Hydro ASA,Green Investment Group,Onshore Wind,106,10,Corporate,,,,
2018-11-01,Norway,Alcoa Corp,Zephyr AS,Onshore Wind,194,10,Corporate,,,,
2018-11-01,Norway,Elkem,Vattenfall,Offshore Wind,30,10,Corporate,,,,
2018-11-01,Poland,Mercedes-Benz,WSB Neue Energien GmbH,Onshore Wind,45.1,10,Corporate,,,,
2018-11-01,Great Britain,Westcott Business Park/Rockspring,British Solar Renewables Ltd,Solar,15,10,Corporate,,,,
2018-11-01,Germany,Ulenspiegel Druck,Green City Energy,Onshore Wind,38,10,Corporate,,,,
2018-11-01,Great Britain,Amazon,Not disclosed,Onshore Wind,82,10,Corporate,,,,
2018-11-01,Great Britain,Amazon,Not disclosed,Onshore Wind,9,10,Corporate,,,,
2018-11-01,Norway,Facebook,Norsk Vind Energi AS,Onshore Wind,155,10,Corporate,,,,
2018-11-01,Norway,Facebook,Norsk Vind Energi AS,Onshore Wind,63,10,Corporate,,,,
2018-11-01,Norway,Facebook,Norsk Vind Energi AS,Onshore Wind,76,10,Corporate,,,,
2018-11-01,Norway,Norsk Hydro ASA,Havgul Nordic,Onshore Wind,208,10,Corporate,,,,
2018-11-01,Great Britain,Brett Martin Ltd,Lightsource Renewable Energy Ltd,Solar,6.4,10,Corporate,,,,
2018-11-01,Great Britain,Northumbrian Water,Lightsource Renewable Energy Ltd,Solar,10.4,10,Utility,,,,
2018-11-01,Great Britain,Anglian Water,HBS New Energies,Solar,30,10,Utility,,,,
2018-10-01,United States,Nestle,Engie,Onshore Wind,163,,,From the Pretty Prairie project in Reno County. Due to be operaitonal by end of 2019.,Renewables Now,Texas,
2018-10-01,United States,Iron Mountain,NextEra Energy,Onshore Wind,145,15,,Three separate PPAs for projects - Bright Stalk 123MW operational 2019 - Harvest Ridge 50MW 2019 - Headwaters 200MW operational 2020,Renewables Now,Kansas,
2018-10-01,France,Uniper,RES,Onshore Wind,18.2,3,Utility,"Post-FIT PPA, fixed price structure, 01.01.2019 to 31.12.2021",http://www.mynewsdesk.com/pressreleases/res-signs-utility-ppas-with-uniper-on-two-french-trig-owned-wind-farms-2767284,,"2 Operating windparks (20.8 MW and 29,9 MW)"
2018-10-01,United States,Walmart,EDP Renewables,Onshore Wind,233,15,,Will see the construction of a new solar farm in Carrol County. Operational 2021-22.,Renewables Now,Illinois and Indiana,
2018-09-01,United States,Cooperative Energy,Renewable Energy Systems,Solar,100,,,Solar from a new 131MW park in Riverside County. Wind from a new 50MW farm near Arizona border. Online in 2020 and 2021 respectively,Renewables Now,Mississippi,
2018-09-01,Germany,Engie,Arkona,Offshore Wind,385,4,Utility,,,,
2018-09-01,United States,Kaiser Permanente,NextEra Energy,Onshore Wind,180,,,"From the Broadlands wind project, in Douglas County. Expected operational 2019.",Renewables Now,California,
2018-09-01,United States,,EDP Renewables,Onshore Wind,50,,,Virtual PPA. To be supplied from Bright Stalk wind farm.,Renewables Now,Illinois,
2018-08-01,United States,Salesforce,EDP Renewables,Onshore Wind,80,15,,Will see the construction a rooftop solar system as well as a solar canopy over the adjacent parking lot. Construction completed in late 2018.,Renewables Now,Illinois,
2018-08-01,United States,California Department of Forestry and Fire Protection,EnSync,Solar,0.6,20,,From the Santa Rita East farm in Texas.,PV Magazine,California,
2018-08-01,United States,Novartis,Invenergy,Onshore Wind,100,12,,From the Plum Creek wind farm due to begin operation in late 2020.,Renewables Now,Texas,
2018-08-01,United States,JM Smucker,Lincoln Clean Energy,Onshore Wind,60,,,"Joint deal with Monterey Bay Communicty Power to purchase power from the 200MW Duran Mesa project in Corona, New Mexico. Expected to be online late 2020.",Renewables Now,Nebraska,
2018-08-01,United States,Silcon Valley Clean Energy,Pattern Energy Group,Onshore Wind,110,15,,"Joint deal with Silivon Valley Clean Energy to purchase power from the 200MW Duran Mesa project in Corona, New Mexico. Expected to be online late 2020.",Monterrey Bay Community Power Website,California,
2018-08-01,United States,Monterey Bay Community Power,Pattern Energy Group,Onshore Wind,90,15,,From the Timber Road IV project due to begin operation in 2019.,Monterrey Bay Community Power Website,California,
2018-07-01,United States,,EDP Renewable,Onshore Wind,125,15,,"The Desert Harvest II solar porject is being constructed in Riverside County, as is due to be operational by the end of 2020.",Renewables Now,Ohio,
2018-07-01,United States,Southern California Public Power Authority,EDF Renewable North America,Solar,70,25,,The entire production of the Strauss wind project due to be operatinoal in 2019 with 30 turbines.,Solar Power World,California,
2018-07-01,United States,MCE,BayWa,Onshore Wind,101,,,Construction of building rooftop solar and battery system.,Renewables Now,California,
2018-07-01,United States,Kohala Village HUB,EnSync,Solar,0.06,20,,Construction of building rooftop solar and battery system.,Solar Power World,Hawaii,
2018-07-01,United States,Polynesian Cultural Centre,EnSync,Solar,0.41,20,,From two new wind parks in Wilbarger and Herdman Counties.,Solar Power World,Hawaii,
2018-06-01,Spain,Uniper,Talasol Solar (Ellomay),Solar,300,10,Utility,"Financial Swap for 80% of expected production (545 GWh/annum P50), PPA structured as a hedge of project's capture price, on ISDA basis, EIB financed, COD mid-2020.",https://ir.ellomay.com/press-releases/detail/577/ellomay-capital-announces-the-execution-of-a-ppa-in; Uniper,"Talaván, Cáceres, Spain",
2018-06-01,United States,AT&T,NextEra Energy,Onshore Wind,300,,,The Pioneer Solar Project currently under construction 35 miles east of Denver. Will be operational end of 2020.,Renewables Now,Texas,
2018-06-01,United States,Intermountain Rural Electric Ssociation,GCL Energy,Solar,110,10,,From the West of the Pecos Solar Project scheduled to come online in late 2020.,Solar Power World,California,
2018-06-01,United States,SK E&S LNG,E.ON,Solar,50,20,,Expected online 2019. New solar plant being built at San Pablo Raceway,Solar Power World,Texas,
2018-06-01,United States,CleanPower SF,Spower,Solar,100,22,,From the Lapetus Energy Project in Andrews County,PV Magazine,California,
2018-05-01,United States,Brazos Electric Power Cooperative,7X Energy,Solar,35,,,From the Hidalgo II Wind Farm due to be operational in 2019.,Renewables Now,Texas,
2018-05-01,United States,undiclosed,EDP Renewable,Onshore Wind,50,15,,From the Broadlands wind proejct due to be operational in 2019.,Renewables Now,Texas,
2018-05-01,United States,Wabash Valley Power Association,EDP Reneable,Onshore Wind,100,20,,From the Broadlands wind proejct due to be operational in 2019.,Renewables Now,Illinois,
2018-05-01,United States,,EDP Renewable,Onshore Wind,50,15,,Virtual PPA. Supplied from Santa Rita East project due online in 2019.,Renewables Now,Illinois,
2018-05-01,Spain,Engie,"Forestalia, General Electric and Mirova",Onshore Wind,300,12,Utility,"ENGIE signed with Forestalia, General Electric and Mirova an innovative agreement to develop nine subsidy-free wind farms with a total capacity of 300 MW, awarded at the first Spanish renewable generation auction in 2016. In addition, ENGIE, as a green midstreamer in Spain has signed a 12-year Power Purchase Agreement (PPA), to buy at a large part of the electricity generated by the future nine wind farms in the province of Zaragoza. This PPA guarantees the economic viability of the project.",Engie news,,
2018-04-01,United States,Merck,Invenergy,Onshore Wind,60,12,,Virtual PPA. Supplied from the Santa Rita East project due online in 2019.,Renewables Now,Texas,
2018-04-01,United States,Grupo Bimbo,Invenergy,Onshore Wind,100,,,Will see the constructino of the Crosset Solar porject in Ashely County. Operational 2021.,Renewables Now,Texas,
2018-03-01,United States,Arkansas Electric Cooperative Corperation,Renewable Energy Systems,Solar,100,,,"Facebook will take 200MW until 2029, after which they will take full 320MW of the Rattlesnake Creek Project.",Renewables Now,Arkansas,
2018-03-01,United States,Facebook,Enel,Onshore Wind,320,,,Will build the South Peak project due operataional in 2019.,Renewables Now,Nebraska,
2018-03-01,United States,NorthWestern Energy,Allete Clean Energy,Onshore Wind,80,15,,Will see the construction of the Aulander Holloman Solar Facility in Hertford County. This deal makes FifthThird the firsst fortune 500 company to achieve 100% renewable power through a single project.,Renewables Now,Montana,
2018-03-01,Norway,Alcoa,Eolus,Onshore Wind,330,15,Corporate,COD 2021,,,
2018-03-01,United States,Fifth Third,SunEnergy1,Solar,80,,,Will see a new solar farm constructed. Operational in 2021,Solar Power World,North Carolina,
2018-03-01,United States,Wabash Valley Power Association,Ranger Power,Solar,99,30,,From the Prevailing Winds wind farm.,Renewables Now,Illinois,
2018-03-01,United States,,sPower,Onshore Wind,220,30,,For the Prarie queen project due operational in 2019.,Renewables Now,South Dakota,
2018-03-01,Great Britain,N/A,Energiekontor AG,Onshore Wind,8.2,10,N/A,,,,
2018-03-01,Sweden,Norsk Hydro ASA,Vattenfall,Onshore Wind,210,10,Corporate,,,,
2018-02-01,United States,Great Plains Energy,EDP Renewables,Onshore Wind,200,,,For the Clear Creek Wind farm due to be operational late 2020.,Renewables Now,Kansas,
2018-02-01,United States,Associated Electrive Cooperative Inc,Tenaska,Onshore Wind,236,25,,From the 474MW Solomon Forks Project. Operational 2019.,Renewables Now,Missouri,
2018-02-01,United States,Brown-Forman,Infinity Renewables,Onshore Wind,30,15,,From the 286MW Karankawa wind farm,Renewables Now,Kansas,
2018-01-01,United States,Nike,Avangrid Renewables,Onshore Wind,86,,,Will supply a community network of 200 houses.,Renewables Now,Texas,
2018-01-01,United States,,EnSync,Solar,0.79,20,,From a solar development in West Texas due to reach commercial operation in late 2020.,Solar Power World,Hawaii,
2018-01-01,Germany,Deutsche Bahn,RWE,Hydro,112,14,Corporate,"900 GWh per year from 14 hydro power stations, a sleeved PPA, capacity estimated",,,
2017-12-01,United States,Austin Energy,Intesect Power,Solar,150,,,Will install a rooftop system on an aparment complext in Honolulu.,Solar Power World,Texas,
2017-12-01,United States,Nuuanu Terrace,EnSync,Solar,,20,,"Will see the construction of the Depot Solar Centre in Rustburg, Virginia. Expected Operational in September 2019",PV Magazine,Hawaii,
2017-12-01,United States,Appalachain Power,Coronal Energy,Solar,15,20,,"Will be supplied by Gaskell West 2 Solar Project located in Southern California, scheduled to be operational in 2020. BART is the first US metro-rail entity to sign a utility-scale solar PPA in 2017.",Solar Power World,Virginia,
2017-12-01,United States,Bay Area Rapid Transit,Recurrent Energy,Solar,45,20,,Will see the construction of rooftop solar systems at 2 public school buildings.,Solar Power World,California,
2017-11-01,United States,Middlesex County Public Schools,Sun Tribe Solar,Solar,1.01,25,,From the Turquoise Nevada solar proejct,PV Magazine,Virginia,
2017-11-01,United States,Sumitomo,NV Energy,Solar,50,25,,"From the wind project in Van Wert and Paulding county, online in late 2018.",Renewables Now,Nevada,
2017-09-01,United States,General Motors,Starwood Energy Group,Onshore Wind,100,,,Will be supplied by the Mustang Two solar project in Kings County. At the time on announcemnt commercial operation was expected in 2019,Renewables Now,Ohio,
2017-09-01,United States,Penninsula Clean Energy,Recurrent Energy,Solar,100,15,,From the Thunder Ranch farm. Online in 2017.,Solar Power World,California,
2017-09-01,United States,Anheuser-Busch,Enel Green Power,Onshore Wind,152.5,,,Will see the construction of numerous projects throughout the state. The Bank's PPA fund will provide PPAs for a broad range of property owners and small scale customers.,Renewables Now,Oklahoma,
2017-09-01,United States,Connecticut Green Bank,Onyx Renewable Partners,Solar,20,25,,Will see the construction of a small rooftop system at the organisations headquarters.,Solar Power World,Connecticut,
2017-08-01,United States,Easter Seals Hawaii,EnSync,Solar,0.01,20,,From the Solomon Forks wind farm.,Solar Power World,Hawaii,
2017-08-01,United States,Target,Infinity Renewables,Onshore Wind,100,,,From the Bishop Hill III wind project. Operational 2018.,Renewables Now,Kansas,
2017-08-01,United States,WPPI Energy,Invenergy,Onshore Wind,132,25,,For the construciton of a new wind farm. Operational 2019.,Renewables Now,Illinois,
2017-08-01,United States,Austin Energy,Iberdrola,Onshore Wind,200,15,,For production from 3 solar sites due to be operational end of 2019.,Renewables Now,Texas,
2017-07-01,United States,Hawaiin Electric Co,NRG Energy,Solar,110,,,Construction of a small ground mounted solar system.,Renewables Now,Hawaii,
2017-07-01,United States,Ashram Yoga Ranch,RER Energy Group,Solar,0.09,13,,For the 50 turbine Stoneray wind project.,Solar Power World,New York,
2017-07-01,Spain,Factorenergia,Grupo Enhol,Onshore Wind,90,20,Utility,,,,
2017-06-01,United States,,EDF Energies,Onshore Wind,100,,,Foro the construction of a new facility,Renewables Now,Minnesota,
2017-06-01,United States,Goldman Sachs,NextEra Energy,Onshore Wind,68,,,New project Nobles 2. Operational december 2019.,Renewables Now,Pennsylvania,
2017-06-01,United States,Minnesota Municipal Power Agency,Tenaska,Onshore Wind,250,20,,Will see rooftop solar systems installed on more than 200 units of a housing develoment.,Renewables Now,Minnesota,
2017-05-01,United States,Kalaeloa Makai Residential Development,EnSync,Solar,,20,,For the production from the Kawailoa solar plant on Oahu.,Solar Power World,Hawaii,
2017-04-01,United States,Hawaiian Electric Company,NRG Energy,Solar,49,,,From the 160MW Barton wind farm.,Renewables Now,Hawaii,
2017-02-01,United States,Dairyland Power Cooperative,Avangrid Renewables,Onshore Wind,80,,,"The system, comprised of EnSync Energy’s patented Matrix Energy Management, its SuperModule™ containerized energy storage and approximately 400 kW of solar, will provide electricity to dedicated loads at the Oceanic Time Warner office and operations center in Kailua-Kona, Hawaii.",Renewables Now,Iowa,
2017-02-01,United States,Oceanic Time Warner,EnSync,Solar,0.4,,,Will see the construction of the Springbok 3 Solar Farm. Operational in 2020,Solar Power World,Hawaii,
2017-02-01,United States,LA Dept. of Water and Power / Southern California Public Power Authority,8Minute Solar Energy,Solar,90,,,Electricty will be received from the Tranquilty 8 Verde Solar Project in Fresno County. At the time of announcement was expected to operational in early 2018.,PV Magazine,California,
2017-01-01,United States,Sacremento County Municpla Utility District,Recurrent Energy,Solar,60,20,,Will see the construction of the Valentine Solar Project in Kern County. At the time of announcment it was expected to be operational in December 2019.,Solar Power World,California,
2017-01-01,United States,Southern California Edison,EDF Renewable North America,Solar,111.2,15,,Full production of a new facility due to be operational end of 2019.,Pv Magazine,California,
2017-01-01,United States,Great River Energy,NextEra Energy,Onshore Wind,300,,,,,,
